No.,name,위도,경도
1,거로사거리남측,33.50611688,126.5589475
2,구산마을입구교차로,33.48434445,126.5357903
3,무수천사가로교차로,33.45996056,126.446754
4,봉개교정류장북측,33.49802901,126.5782028
5,서문사거리,33.5123009,126.5193216
6,서홍사거리,33.26415768,126.5587374
7,성산고입구교차로,33.46530644,126.9085974
8,성판악,33.38474154,126.6204798
9,수모루교차로,33.24701719,126.5243521
10,아라주공아파트,33.47404218,126.5457186
11,안덕119센터,33.25070643,126.3307731
12,애조로노형교차로,33.4639544,126.4848891
13,어리목입구,33.39016967,126.4854349
14,연동사거리,33.48569414,126.4964213
15,연미마을사거리,33.49278237,126.5080716
16,웃한길사거리,33.25832831,126.4270961
17,탐라천문대사거리,33.29039098,126.4605859
18,한라병원오거리,33.48999966,126.4866341
19,회수사거리,33.26325962,126.4438546
20,효돈입구교차로,33.26342686,126.6222342
21,강절육교,34.66460555,126.6787831
22,거제면귀목정,34.86254184,128.5822416
23,경부선구성2교,36.79213536,127.1699095
24,경부선반정1교,35.90414446,129.0104286
25,경부선선산육교,36.13047916,128.339257
26,경부선안성휴게소2,37.01519416,127.1449986
27,경부선언양휴게소,35.59550886,129.138991
28,경부선외천교,35.89690527,128.5482748
29,경부선원곡졸음쉼터,37.00115159,127.1516003
30,경부선이조천교,35.74939953,129.1946398
31,골사그네,37.33554334,126.9804218
32,괴정사거리,35.10016861,128.9929633
33,국도15고흥대곡교,34.71444979,127.3459224
34,국도15고흥장덕교차로,34.80384138,127.3416946
35,군위군군위IC,36.19900317,128.5590004
36,군위효령농공단지,36.15170919,128.5894576
37,권선사거리,37.2599771,127.0237634
38,김포한강3로변전소사거리,37.63669153,126.6275078
39,김포한강3로허산입구삼거리,37.63388243,126.6739766
40,남대천대교,37.73390984,128.8447074
41,버들육거리,36.80631579,127.1522127
42,블루원리조트진입로삼거리,35.82571518,129.2848532
43,비봉IC입구,37.24423177,126.8895253
44,삼척호산교차로,37.17150995,129.3376805
45,삼척호산천교,37.1805406,129.3274096
46,서해안선사포2교,35.53356353,126.6892745
47,서해안선노하1교,37.15728097,126.8765001
48,서해안선당진쉼터서울,36.90079857,126.7191236
49,서해안선발안천교,37.10982618,126.8874229
50,서해안선부곡1교,37.34000797,126.8679664
51,서해안선순산터널,37.33585715,126.8748063
52,서해안선종천교,36.1194734,126.6368728
53,서해안선추동1교,36.04986758,126.7853606
54,서해안선하입석육교,36.04986758,126.7853606
55,세곡사거리,37.26762667,127.009862
56,순천완주선서면5터널,35.07110294,127.4873368
57,안동광음3교,36.5086534,128.6795657
58,안동무릉교차로,36.51841892,128.6804913
59,연초면죽토교,34.91221497,128.6548724
60,월계1교동측방면,37.63285472,127.0620011
61,월계1교서측방면,37.63357941,127.0631403
62,의성길천교,36.32226562,128.640804
63,의성세촌교차로,36.42636395,128.6663095
64,의성안세교,36.42300117,128.6709538
65,의성철파사거리,36.35956064,128.6854824
66,이화사거리,37.57614015,127.0022075
67,익산장수선단양1교,35.77763808,127.4195423
68,익산장수선명덕1교,35.87054591,127.2043774
69,중앙선수곡2교,36.58418667,128.633268
70,통영관덕삼거리,34.90107189,128.3763914
71,포항유강터널동측,35.99789754,129.2925561
72,화촌9터널,37.75838361,128.0693688
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
